policy_renewal_number,policy_premium_band,customer_age,location_code,location_score,market_segment,policy_type,payment_frequency,customer_education_level,customer_occupation_sector,policy_category_two,policy_cover_level,customer_email_verified,payment_method,is_joint_policy,policy_excess,customer_home_ownership,customer_credit_one,customer_credit_two,customer_credit_three,customer_salary_band,customer_age_scaled,customer_gender,additional_customer_flag,policy_item_category,claim_flag
9,1,41,20,112,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,31,2,0,15,0
8,1,35,11,0,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,21,0,0,10,0
9,0,44,20,168,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,36,2,0,13,0
5,0,44,1,168,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,36,2,0,13,0
10,1,56,4,393,4,6,0,2,1,0,2,,1,0,1200,0,452,832,656,5,57,3,0,11,0
3,2,36,19,18,4,8,1,9,6,2,6,,1,0,700,0,452,802,536,0,22,2,0,13,0
4,2,38,11,56,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,26,0,0,6,0
10,2,56,11,393,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,57,2,0,3,0
10,0,55,17,375,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,55,3,0,3,0
0,2,45,15,187,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,38,2,0,14,0
10,3,37,10,37,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,24,0,0,9,0
5,1,39,20,75,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,27,0,0,7,0
10,1,41,11,112,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,31,2,1,2,1
1,0,44,11,168,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,36,0,0,15,0
5,0,36,15,18,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,22,0,0,13,0
10,3,40,20,93,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,29,2,0,15,0
8,0,40,21,93,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,29,1,0,6,0
0,0,62,1,506,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,67,0,0,2,0
